"","Open Source","Orienté Objet","Fonctionnel","Impératif","Script","Populaire","Script pour Web","Langage de Système","Langage de Calcul Scientifique","Langage de Programmation Logique"
"Python","1","1","0","0","1","1","0","0","1","0"
"C++","1","1","0","1","0","0","0","1","0","0"
"C#","0","1","0","1","0","0","0","0","0","0"
"Go","1","0","0","1","0","1","0","1","0","0"
"PHP","1","1","0","1","0","1","1","0","0","0"
"Kotlin","1","1","1","0","0","1","0","0","0","0"
"Perl","1","1","0","1","1","0","0","0","0","0"
"HTML","0","0","0","0","1","0","1","0","0","0"
"MATLAB","0","0","0","1","0","0","0","0","1","0"
"R","1","0","0","0","0","0","0","0","1","0"
"Groovy","1","1","1","1","1","1","0","0","0","0"
"COBOL","0","0","0","1","1","0","0","0","0","0"
"Lisp","1","0","1","1","0","1","0","0","0","1"
"Prolog","1","0","0","1","0","1","0","0","0","1"
"Clojure","1","0","1","1","1","1","0","0","0","0"
"Assembly","0","0","0","1","0","1","0","1","0","0"
"F#","1","1","1","1","0","0","0","0","0","0"
"ActionScript","0","1","0","0","1","0","0","0","0","0"
"Perl","1","1","0","1","1","1","0","0","0","0"
"COQ","1","0","0","0","0","0","0","0","0","1"
